0,85.2209
0.0012,75.0272
0.0024,70.1601
0.0036,66.9827
0.0048,64.7281
0.006,63.1224
0.0072,62.0056
0.0096,60.9703
0.012,60.6636
0.0144,60.6792
0.0192,60.7628
0.0288,60.8312
0.0384,60.8972
0.048,60.9749
0.0576,61.0484
0.0672,61.1255
0.0768,61.2037
0.0864,61.2831
0.1056,61.446
0.1248,61.6122
0.144,61.7837
0.1632,61.9583
0.2016,62.325
0.24,62.7089
0.2784,63.1108
0.3168,63.5319
0.3552,63.9731
0.3936,64.4351
0.432,64.9187
0.4704,65.4243
0.5088,65.9548
0.5472,66.5127
0.5856,67.1002
0.624,67.7195
0.6624,68.3731
0.7008,69.0642
0.7392,69.7964
0.7776,70.5729
0.816,71.3978
0.8544,72.2759
0.8928,73.2115
0.9312,74.2104
0.9696,75.2784
1.008,76.422
1.0464,77.6474
1.0848,78.9618
1.1232,80.3727
1.1424,81.1033
1.152,81.4759
1.1616,81.8635
1.1664,82.0651
1.1712,82.2933
1.1808,83.0736
1.1904,83.4971
1.2,83.6663
1.2192,83.7755
1.2576,83.7698
1.3344,83.6116
1.4112,83.4402
1.488,83.2755
1.5648,83.1185
1.6416,82.9643
1.7184,82.8125
1.7952,82.6486
1.872,82.4846
1.9488,82.3123
2.0256,82.1287
2.1024,81.9315
2.1792,81.719
2.256,81.4894
2.3328,81.2292
2.4096,80.9514
2.4864,80.6333
2.5632,80.2843
2.64,79.89
2.7168,79.4361
2.7936,78.8911
2.8704,78.2188
2.9472,77.3132
3.024,75.9151
3.0624,73.9287
3.072,68.5797
3.0816,62.7575
3.0912,57.6599
3.1008,53.6034
3.12,49.02
3.1392,47.1456
3.1584,47.1888
3.1776,48.2831
3.1968,49.7747
3.216,51.5564
3.2256,52.5392
3.2352,53.6716
3.2448,55.0838
3.2544,57.1944
3.264,61.3688
3.2736,69.7523
3.2784,78.0161
3.2832,84.7374
3.288,84.3354
3.2976,84.2283
3.3168,84.2043
3.3552,84.1424
3.3936,84.0736
3.432,84.0029
3.4704,83.9311
3.5088,83.8584
3.5472,83.7832
3.5856,83.7072
3.624,83.6298
3.6624,83.5478
3.7008,83.4623
3.7392,83.376
3.7776,83.2879
3.816,83.1897
3.8544,83.0932
3.8928,82.991
3.9312,82.8851
3.9696,82.7756
4.008,82.6597
4.0464,82.5403
4.0848,82.4173
4.1232,82.287
4.1616,82.1558
4.2,82.0107
4.2384,81.8638
4.2768,81.7112
4.3152,81.5387
4.3536,81.3588
4.392,81.1677
4.4304,80.9589
4.4688,80.7254
4.5072,80.4477
4.5456,80.0965
4.584,79.3938
4.5936,78.877
4.5984,78.468
4.6032,77.7799
4.608,76.142
4.6128,73.6908
4.6176,70.7932
4.6224,67.7693
4.6272,64.8097
4.632,62.0073
4.6416,57.2011
4.6512,53.2648
4.6704,48.3929
4.6896,46.0062
4.7088,45.5266
4.728,46.2696
4.7472,47.5473
4.7664,49.0559
4.7856,50.8666
4.8048,63.5475
4.8144,76.3827
4.8192,84.8703
4.824,84.2515
4.8336,84.215
4.8528,84.2302
4.8912,84.1955
4.9296,84.1357
5.0064,84.0198
5.0832,83.8825
5.16,83.733
5.2368,83.5767
5.3136,83.4108
5.3904,83.2346
5.4672,83.048
5.544,82.8509
5.6208,82.6368
5.6976,82.4097
5.7744,82.1649
5.8512,81.8882
5.928,81.5683
6.0048,81.1791
6.0816,80.6204
6.1584,79.7298
6.2352,78.2909
6.2448,77.33
6.2496,76.4327
6.2544,74.7795
6.2592,72.4739
6.264,69.7579
6.2736,64.0821
6.2832,58.9847
6.2928,54.7012
6.3024,51.2789
6.3216,47.363
6.3408,45.7967
6.36,45.9215
6.3792,46.9675
6.3984,48.3599
6.4176,49.9693
6.4368,52.0074
6.456,65.9515
6.4608,71.3985
